Date,Open,High,Low,Close,Volume,Adj Close
1994/10/14,41.499999,42,40.875001,41.125,44013200,1.348057
1994/10/13,42.625001,42.875,40.624999,41.125,131325600,1.348057
1994/10/12,39.624999,42.625001,39.125001,42.125,149329600,1.380836
1994/10/11,41.374999,41.875,39.375,39.624999,210576800,1.298887
1994/10/10,37.124999,39.624999,36.999999,38.874999,130852400,1.274303
1994/10/7,36.124999,37.0625,35.500001,36.999999,91098000,1.212841
1994/10/6,37.375001,37.484299,36,36.249999,131728800,1.188257
1994/10/5,33.624999,38.125001,33.375,37.874999,177450000,1.241523
1994/10/4,33.25,34,33.000001,33.750001,40597200,1.106308
1994/10/3,33.624999,33.750001,32.5,33.125,32398800,1.085821
1994/9/30,34.125,34.499999,33.624999,33.6875,17925600,1.104259
1994/9/29,33.750001,34.374999,33.375,34.125,27344800,1.1186
1994/9/28,34,34.374999,33.624999,33.875001,20316800,1.110405
1994/9/27,33.750001,34.125,33.375,33.875001,27272000,1.110405
1994/9/26,33.875001,34.499999,33.624999,33.937499,35425600,1.112454
1994/9/23,33.875001,34.499999,33.875001,33.937499,33219200,1.112454
1994/9/22,34.25,34.25,33.624999,33.875001,36559600,1.110405
1994/9/21,34.499999,34.625001,33.750001,34.125,58710400,1.1186
1994/9/20,35.125,35.374999,34.374999,34.5625,49313600,1.132941
1994/9/19,36.375001,36.75,35.500001,35.500001,43587600,1.163672
1994/9/16,35.875,37.250001,35.500001,36.375001,91036400,1.192354
1994/9/15,35.125,36.124999,35.125,36,64738800,1.180062
1994/9/14,35.625001,35.75,35,35.125,24771600,1.15138
1994/9/13,35.75,36.249999,35.625001,35.812499,26056800,1.173915
1994/9/12,35.625001,35.75,35.374999,35.75,22635200,1.171867
1994/9/9,35.75,36,35.374999,35.75,39309200,1.171867
1994/9/8,36,36.249999,35.625001,36.124999,39709600,1.184159
1994/9/7,35.625001,36.625,35.374999,36.124999,50974000,1.184159
1994/9/6,35.249999,35.625001,35,35.5625,22856400,1.165721
1994/9/2,35.249999,35.500001,35,35.374999,25326000,1.159574
1994/9/1,35.374999,35.75,34.625001,35,51072000,1.147282
1994/8/31,36,37.375001,35.75,36.1875,87959200,1.186208
1994/8/30,35.249999,36.375001,35.125,36.249999,45519600,1.188257
1994/8/29,35.75,36.124999,35.249999,35.374999,38026800,1.159574
1994/8/26,35.249999,36.124999,35.249999,35.75,51049600,1.171867
1994/8/25,34.25,36.375001,34.25,35.062501,74698400,1.149331
1994/8/24,34.750001,35,34.374999,34.875,42896000,1.143185
1994/8/23,34.875,35.875,34.750001,35,53611600,1.147282
1994/8/22,34.750001,35,34.625001,34.875,38105200,1.143185
1994/8/19,34.750001,35,34.25,34.875,32636800,1.143185
1994/8/18,34.750001,35.249999,34.499999,34.625001,51564800,1.13499
1994/8/17,34.875,35.374999,34.625001,35,71545600,1.147282
1994/8/16,34.374999,34.750001,34,34.750001,38934000,1.139087
1994/8/15,34.750001,35,34.25,34.625001,30018800,1.13499
1994/8/12,34.374999,35.125,33.875001,34.750001,44912000,1.13515
1994/8/11,34.25,35.125,33.875001,34.312501,74522000,1.120858
1994/8/10,33.624999,34.875,33.25,34.625001,63392000,1.131067
1994/8/9,33.499999,33.875001,33.125,33.624999,19650400,1.0984
1994/8/8,33.125,34,33.000001,33.750001,35319200,1.102484
1994/8/5,32.875001,33.375,32.875001,33.25,21753200,1.086151
1994/8/4,33.125,33.750001,33.125,33.25,46188800,1.086151
1994/8/3,32.749999,33.25,32.125001,33.125,56711200,1.082067
1994/8/2,33.499999,33.624999,32.375,32.562501,67390400,1.063693
1994/8/1,33.624999,33.750001,32.749999,33.375,57318800,1.090234
1994/7/29,31.874999,34,31.874999,33.6875,138941600,1.100442
1994/7/28,30.999999,32.125001,30.874999,31.874999,61328400,1.041235
1994/7/27,31.250001,31.375,30.625,31.0625,33446000,1.014693
1994/7/26,31.749999,32.000001,31.125001,31.375,47202400,1.024902
1994/7/25,31.125001,31.874999,30.75,31.687501,105663600,1.03511
1994/7/22,31.625,31.968699,29.999999,30.999999,196644000,1.012652
